login_attempts_per_min,files_accessed_per_min,cpu_usage_avg,network_out_mb,process_count
2,10,19.95477975100981,4.5875070632685775,72
41,166,84.91901120335852,194.9406771014117,192
2,7,37.79923862131757,3.0575712785028313,36
1,12,37.46519304621812,1.8548728481735117,34
2,1,33.76064085899803,4.3378052231927455,46
1,2,14.377032918835774,4.989281957248625,49
0,17,20.30716047409662,0.8156654102297098,48
2,12,8.502666897421705,0.968944861272594,73
2,1,19.88147696862051,3.0341580965019923,51
1,11,39.73882170696506,3.1642701388553114,60
0,14,13.003799259923769,3.883266989161631,54
1,3,18.950958351816134,0.6213777173150452,51
0,5,24.936534628113684,4.027902620565934,31
1,11,10.758316218792968,4.219522508158322,41
0,14,10.907717715673474,3.6740316476712955,39
2,10,21.90518004570878,1.9880628660252495,48
1,15,11.769139990960198,0.9968949820690042,39
0,12,31.10024021619421,4.283601258089202,70
2,5,16.939410251211505,4.738022707024948,49
1,19,11.645332923036005,1.6923817261045087,41
0,8,38.974191879397935,4.599521188157178,46
1,7,5.69764537734984,0.6818353474977912,40
0,4,30.013116776538524,3.662471208273769,69
2,16,13.036395376520861,2.985666699460233,48
0,7,30.7043543692113,4.052018304438837,50
0,14,14.677973693915181,3.234653874091721,55
0,19,11.029219393606489,4.10297982072258,70
1,17,27.346762723191066,2.004337477523533,38
0,4,35.6251701265207,2.5142677762104584,69
1,5,34.659352080275966,4.864907678610034,66
2,8,37.9042687296863,2.9861927893157976,30
2,4,38.44808283784142,1.4958103612199993,52
0,6,12.97559911321283,0.6274840012779732,66
1,1,7.127813746841737,2.276199272591979,39
1,8,14.135266602965332,2.1810414602895403,77
2,9,12.197914658530443,1.197193188850225,66
0,1,16.39832963038202,4.967774583359167,39
2,19,12.152211828087385,3.5686044136607813,36
0,15,22.282734932093046,3.2450693284554504,53
2,9,13.083004380092428,1.7629389460628764,43
1,1,17.662040043594168,4.654171158197995,46
2,17,10.95061722612687,4.801540246266111,60
1,5,9.540600824942256,1.3392796630883106,45
2,8,15.929713987566057,4.1237410697731605,66
2,10,35.993905084450525,3.6011396070757424,61
2,18,26.056112344606355,1.6278436979180009,62
1,16,5.280377090069452,3.848621664528873,42
2,15,28.652732239660658,1.5146422931680583,62
2,14,19.36079910703682,3.133518451339119,51
2,6,20.01384453263294,2.9868868231886454,53
0,3,7.8201232294708785,0.6944873851356836,51
1,15,10.542327292944337,4.828723193901979,70
0,6,23.41726070860622,2.6159874271525405,46
0,4,9.139937323435484,4.5820101297513665,78
1,13,14.620549045478954,1.4235127471171771,32
0,16,19.358350280110507,3.9774915783091505,68
0,6,19.37022431200962,2.8143308799057696,45
2,12,25.229516613780465,3.2599498180432214,38
0,1,11.85616816119095,3.290961117836355,41
1,11,38.133621216310566,2.42800322924608,60
2,19,39.95083019227737,4.214423966937458,36
2,6,28.19804298557979,4.964936841603409,62
0,4,9.776694569772838,4.33224232692492,60
2,17,38.28538495608391,1.4130561462746511,57
0,12,9.064581389166438,4.7135992133497195,50
1,1,13.468012064573525,2.8011518591290865,74
2,18,25.70659374826083,2.270742342944781,67
0,18,9.732535459755404,3.5547732955244458,39
2,14,22.17041269969956,4.093211861681352,43
1,4,25.692649765524134,3.694247365256171,65
1,2,32.85214662126218,0.8454087888533747,56
0,17,35.431467602822025,4.412941039588402,59
2,3,31.30585567067407,4.685208895918625,56
2,18,9.91637340041694,3.5496598525496337,68
1,11,10.116828474545006,1.593654372826949,59
2,14,23.57984470130056,2.5635926236142463,32
1,18,27.42997057822626,1.5657349525350859,72
2,8,21.70302791934888,1.8922529616045978,75
2,16,30.038489578093497,4.971132115124382,55
1,1,27.10708225203398,4.8809482787995355,49
0,15,6.892932319758336,3.0287788606589974,62
1,14,16.818406235765732,4.346583367649472,43
2,3,39.211962630358606,0.844628866372052,73
1,11,31.215988976573573,4.844159650871577,38
2,4,13.192609795381113,2.942453402776645,66
2,18,24.9752809532105,3.5969936575971326,67
1,8,11.314560442295083,4.212196399869139,37
1,19,10.505497883886434,0.6041203255468801,61
0,8,37.39452031449457,0.9622867445983228,42
2,17,6.729998415175002,0.7837784761993534,70
1,15,8.788635795086865,1.5302491739520776,76
2,2,31.480724099428272,2.8350895523456034,49
1,2,17.235706907285472,1.5382648744614278,66
0,11,7.995349617680143,1.6279326368221254,34
0,1,19.94682991936244,0.5851009171772051,30
2,13,8.604591381680386,0.9428755854489705,55
1,18,31.215924884470915,4.299997380053542,34
1,18,9.304921628504554,2.9341980613164163,75
0,14,12.25636288698676,1.2512281823926599,50
1,6,33.6887278531376,2.657078318277099,75
0,13,6.878627548340699,3.137813918252041,47
0,5,39.141045748256566,1.9426093231824573,40
0,15,14.40180283000541,4.057227970407393,36
2,10,11.745638980241624,0.8733044963784071,53
0,13,25.400074893175915,3.7558516242281037,73
2,6,11.717527504768885,3.8892722951137264,69
1,8,37.21532077796705,2.0543478872917977,41
0,19,15.741955493366738,2.0184733506540606,35
2,8,12.846532496912616,3.236168038670555,66
2,8,23.062176314457624,4.3854802295237585,64
1,17,8.327191444044635,1.414707029649847,47
0,3,5.271059448196137,4.623636462011329,32
2,18,18.98472655302797,2.977763247496717,55
0,10,7.554359429098021,1.6541798621449944,59
0,8,19.47039222703426,4.104530402804706,66
0,4,38.56834732176863,1.6437798592921458,31
0,4,32.744751210896624,2.3769665560853723,37
2,6,15.712483616816046,4.7073022748528786,77
2,11,32.638296911267005,3.5021110643234765,54
2,13,30.74429111505343,0.9980923107089834,68
0,10,34.53906197072937,4.022162467386489,73
2,12,11.916371054914286,3.2330851791580644,70
2,5,30.037795309274884,0.5047414578814302,77
2,1,29.76183511146952,1.8483771665939173,60
1,12,16.153921925119512,3.8928552001830754,53
2,14,23.287085900059243,0.714556633494919,79
0,12,17.565911928453676,2.990007318886808,74
2,2,30.504682633618174,1.897897831711464,78
0,17,25.567394771283766,4.842261823564808,79
1,10,10.817164473444272,3.1198893619552557,36
2,14,8.821068813381515,1.7318137283844264,48
0,18,19.060678234212638,1.062614817378751,48
2,1,17.116788771403172,1.8612536951266236,43
1,10,11.19627504167463,2.216840551805118,34
1,11,24.130432945608494,1.0863569828551485,30
0,15,21.44890062439043,0.7442859627084796,33
0,3,34.07746557014577,3.6828023718981906,72
2,18,27.59981567516552,3.8592765664020545,75
2,4,37.78905742980107,4.24162460934024,63
2,14,14.880542261554542,3.1871394415366243,66
1,5,17.75872528935144,2.507445266541458,44
0,3,19.066683060465813,0.5667623772992182,74
2,11,34.64815827419435,1.5304254758066245,78
1,14,25.73804652098993,2.749349007283296,55
2,7,25.84410114393125,1.8276692485910262,37
1,10,17.877636042499184,1.3954319871839074,36
1,9,26.87658448510187,4.698824162582521,55
1,12,12.681838128956413,2.1914446403368064,64
1,3,34.89881479393526,1.3965921505836407,79
1,15,35.856445111090395,2.9132341053875295,34
2,17,32.53863853455793,3.956861880550022,38
2,1,6.436303555252807,3.85971703748235,35
1,15,18.78233534025195,3.505656058619201,73
0,6,14.584013850418808,4.47270214106047,61
1,7,38.72878721250417,0.5569393433840227,77
0,6,5.593009504072748,4.4764346331090765,76
0,16,27.971405358554577,2.9644845227492453,45
2,12,27.705295865836916,1.6070188751597048,42
2,8,20.82088576256329,0.763365971639671,33
1,17,5.8374828332039765,0.6405919748154839,59
0,7,32.26157204471208,3.5537871958720255,57
1,18,22.77464632026793,0.9455327881373097,41
2,9,32.40150765703362,4.271716428363824,72
1,3,18.01539462080291,4.719762568331739,36
0,7,22.76980696504393,3.728850403215249,47
